"filename", "language", "PHP", "JavaScript", "MS SQL", "PostCSS", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\eventosperu3\api\api_bootstrap.php", "PHP", 26, 0, 0, 0, 0, 9, 6, 41
"c:\xampp\htdocs\eventosperu3\api\clients.php", "PHP", 74, 0, 0, 0, 0, 1, 6, 81
"c:\xampp\htdocs\eventosperu3\api\events.php", "PHP", 90, 0, 0, 0, 0, 3, 6, 99
"c:\xampp\htdocs\eventosperu3\api\providers.php", "PHP", 94, 0, 0, 0, 0, 2, 10, 106
"c:\xampp\htdocs\eventosperu3\api\providers_debug.log", "Log", 0, 0, 0, 0, 373, 0, 124, 497
"c:\xampp\htdocs\eventosperu3\api\reviews.php", "PHP", 90, 0, 0, 0, 0, 3, 6, 99
"c:\xampp\htdocs\eventosperu3\assets\app.js", "JavaScript", 0, 282, 0, 0, 0, 26, 37, 345
"c:\xampp\htdocs\eventosperu3\assets\login.css", "PostCSS", 0, 0, 0, 66, 0, 7, 11, 84
"c:\xampp\htdocs\eventosperu3\assets\menu.css", "PostCSS", 0, 0, 0, 45, 0, 6, 7, 58
"c:\xampp\htdocs\eventosperu3\assets\style-copy.css", "PostCSS", 0, 0, 0, 61, 0, 1, 1, 63
"c:\xampp\htdocs\eventosperu3\assets\style.css", "PostCSS", 0, 0, 0, 194, 0, 37, 29, 260
"c:\xampp\htdocs\eventosperu3\assets\styles.css", "PostCSS", 0, 0, 0, 126, 0, 14, 22, 162
"c:\xampp\htdocs\eventosperu3\config\database.php", "PHP", 23, 0, 0, 0, 0, 0, 4, 27
"c:\xampp\htdocs\eventosperu3\controllers\AuthController.php", "PHP", 72, 0, 0, 0, 0, 4, 5, 81
"c:\xampp\htdocs\eventosperu3\database\init_db.sql", "MS SQL", 0, 0, 102, 0, 0, 88, 44, 234
"c:\xampp\htdocs\eventosperu3\index.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\eventosperu3\models\User.php", "PHP", 35, 0, 0, 0, 0, 6, 8, 49
"c:\xampp\htdocs\eventosperu3\views\clients.php", "PHP", 85, 0, 0, 0, 0, 0, 12, 97
"c:\xampp\htdocs\eventosperu3\views\dashboard.php", "PHP", 36, 0, 0, 0, 0, 0, 7, 43
"c:\xampp\htdocs\eventosperu3\views\events.php", "PHP", 206, 0, 0, 0, 0, 6, 24, 236
"c:\xampp\htdocs\eventosperu3\views\hash.php", "PHP", 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\eventosperu3\views\index_old.php", "PHP", 23, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\eventosperu3\views\login.php", "PHP", 30, 0, 0, 0, 0, 0, 10, 40
"c:\xampp\htdocs\eventosperu3\views\logout.php", "PHP", 32, 0, 0, 0, 0, 3, 8, 43
"c:\xampp\htdocs\eventosperu3\views\menu - copia.php", "PHP", 64, 0, 0, 0, 0, 0, 8, 72
"c:\xampp\htdocs\eventosperu3\views\menu.php", "PHP", 86, 0, 0, 0, 0, 2, 12, 100
"c:\xampp\htdocs\eventosperu3\views\providers.php", "PHP", 106, 0, 0, 0, 0, 7, 25, 138
"c:\xampp\htdocs\eventosperu3\views\signup - copia.php", "PHP", 76, 0, 0, 0, 0, 0, 5, 81
"c:\xampp\htdocs\eventosperu3\views\signup.php", "PHP", 170, 0, 0, 0, 0, 17, 33, 220
"Total", "-", 1428, 282, 102, 492, 373, 242, 473, 3392